Posição	Nome Japonês
588	フシデ
588	ダブラン
595	ハブネーク
595	カバルドン
595	トリミアン
598	ベトベター
598	タマンタ
600	メノクラゲ
600	ヒトデマン
600	カブト
600	キマワリ
600	プルリル
600	コジョフー
606	ナマケロ
607	モルフォン
607	ソルロック
607	カラナクシ（にしのうみ）
607	ミルホッグ
607	ムシャーナ
607	ダンゴロ
607	ヤブクロン
607	ママンボウ
607	ギギアル
607	バッフロン
617	パウワウ
617	ホイーガ
619	フォレトス
619	ゴニョニョ
619	マクノシタ
622	パラセクト
622	ブルー
622	タツベイ
622	ヒポポタス
622	ユキカブリ
622	デスマス
622	バルジーナ
622	カメテテ
622	クズモー
631	オニスズメ
631	ヤンヤンマ
631	コータス
634	ピジョン
634	グランブル
634	マグカルゴ
634	タネボー
634	ノズパス
634	ユキワラシ
634	ダイノーズ
634	コフーライ
642	マグマッグ
642	ヨマワル
642	ハンテール
642	タテトプス
642	ガントル
642	オノンド
648	パラス
648	サナギラス
648	キャモメ
648	ラクライ
648	コロトック
648	スカタンク
654	ゴルバット
654	シェルダー
654	テッポウオ
654	ヒヤッキー
658	ハリーセン
658	メグロコ
660	グライガー
660	デルビル
660	ブーピッグ
660	ビブラーバ
660	ムクバード
660	ヒヤップ
660	テッシード
660	シビビール
660	ゴビット
660	バルチャイ
670	ニドリーナ
670	スバメ
670	ツチニン
670	シママ
670	ココロモリ
675	バルキー
675	カラサリス
675	ドジョッチ
675	スコルピ
679	スリープ
679	コドラ
679	バルビート
679	ヤジロン
679	ドテッコツ
679	リグレー
685	マンキー
685	ハスブレロ
685	トドグラー
685	ヤナッキー
685	バオップ
685	モグリュー
685	ジヘッド
692	クヌギダマ
692	コノハナ
692	ドゴーム
692	ドンメル
692	ズガイドス
692	ミノマダム（くさきのミノ）
692	プロトーガ
692	ヒトツキ
700	ニドラン♀
700	ドードリオ
702	ニドリーノ
702	スカンプー
702	ドーミラー
702	バスラオ（あかすじのすがた）
706	コロボーシ
706	バニリッチ
706	チョボマキ
709	ゴローン
709	ブビィ
709	マユルド
709	コモルー
709	カブルモ
714	ドッコラー
715	キバニア
715	ハトーボー
717	ヤルキモノ
717	コロモリ
717	コマタナ
720	バオッキー
